DAUID,Pop2016,Density,AgeTot,0_14%,15_64%,65over%,AvgHouseSize,OffLangTot,OffLangNo,OffLangNo%,LangTot,LangChinese,LangChi%,AvgDwellVal,AvgRent
24660032,472,5086.2,470,16,72.3,11.7,2.5,475,5,1.05,475,0,0.00,228719,649
24660033,904,4427,905,10.5,69.6,19.9,2.4,900,5,0.56,975,10,1.03,270645,780
24660034,353,4525.6,355,14.1,74.6,9.9,2.6,355,0,0.00,325,0,0.00,295514,0
24660035,457,4877.3,460,13,72.8,12,2.9,455,0,0.00,510,0,0.00,319153,0
24660036,784,7801,780,8.3,62.8,29.5,1.5,785,5,0.64,795,0,0.00,150758,717
24660037,655,6133,655,18.3,66.4,15.3,2.2,645,0,0.00,680,0,0.00,239540,681
24660038,569,9844.3,570,21.1,67.5,10.5,2.2,565,0,0.00,555,0,0.00,305704,656
24660039,486,11381.7,485,16.5,72.2,11.3,2.1,485,5,1.03,460,0,0.00,0,643
24660040,474,4262.6,475,12.6,65.3,21.1,2.4,460,5,1.09,485,0,0.00,299541,725
24660041,561,3909.4,560,15.2,69.6,15.2,1.8,560,0,0.00,500,0,0.00,0,709
24660042,589,9275.6,590,16.9,68.6,14.4,1.9,590,5,0.85,565,0,0.00,0,664
24660043,429,10046.8,430,19.8,65.1,15.1,1.9,430,0,0.00,440,0,0.00,0,673
24660044,475,3139.5,475,4.2,29.5,65.3,2.1,190,0,0.00,190,0,0.00,569718,775
24660045,487,2288.5,485,9.3,72.2,18.6,2.2,450,0,0.00,380,0,0.00,303843,901
24660046,499,4770.6,500,10,57,32,2.1,440,0,0.00,390,0,0.00,401693,842
24660047,364,2550.8,365,15.1,52.1,31.5,2.1,360,5,1.39,355,0,0.00,292279,620
24660048,526,6159.3,525,16.2,71.4,12.4,2,505,5,0.99,510,0,0.00,236681,719
24660049,484,5493.8,485,16.5,63.9,19.6,2.1,485,0,0.00,515,0,0.00,283223,628
24660050,539,9764.5,540,17.6,74.1,7.4,2.3,540,5,0.93,600,0,0.00,233029,845
24660051,372,4193.9,370,13.5,67.6,17.6,2.1,370,5,1.35,325,0,0.00,258216,712
24660052,570,7412.2,570,15.8,70.2,14,2.3,565,0,0.00,590,0,0.00,294581,822
24660053,407,6310.1,405,16,70.4,14.8,1.9,405,0,0.00,400,10,2.50,228064,739
24660054,477,4320.7,475,17.9,71.6,11.6,2.2,475,0,0.00,515,0,0.00,299115,825
24660055,596,9536,595,16.8,75.6,7.6,2.1,600,0,0.00,585,0,0.00,235946,762
24660056,508,4995.1,510,12.7,72.5,14.7,2.2,495,0,0.00,480,0,0.00,248452,775
24660057,872,339,870,18.4,71.3,10.3,2.4,870,5,0.57,940,0,0.00,269378,650
24660058,367,474.3,365,8.2,60.3,31.5,1.7,335,0,0.00,310,0,0.00,293303,704
24660059,509,4875.5,510,5.9,43.1,50,1.4,415,5,1.20,440,0,0.00,353009,516
24660060,411,2995.6,415,15.7,68.7,15.7,2.1,370,0,0.00,385,0,0.00,368048,723
24660061,586,9766.7,590,13.6,75.4,11,2,565,0,0.00,550,0,0.00,292850,829
24660062,423,7500,420,13.1,73.8,14.3,1.9,425,5,1.18,385,0,0.00,312850,782
24660063,606,10650.3,605,15.7,63.6,20.7,2,600,5,0.83,600,0,0.00,288008,747
24660064,606,8991.1,605,17.4,68.6,14,2.1,610,10,1.64,575,0,0.00,320364,728
24660065,559,13836.6,560,16.1,67,17,2.1,555,10,1.80,605,45,7.44,339822,575
24660066,501,6968,505,17.8,68.3,13.9,2.3,500,0,0.00,475,20,4.21,330847,809
24660067,573,7838.6,570,11.4,71.1,19.3,2.2,540,5,0.93,550,0,0.00,302061,779
24660068,480,8108.1,480,13.5,69.8,16.7,2.4,460,10,2.17,465,0,0.00,279733,821
24660069,585,10914.2,585,12,69.2,19.7,2.1,585,5,0.85,515,0,0.00,369244,663
24660070,488,11619,490,15.3,69.4,14.3,2.3,490,10,2.04,530,20,3.77,366916,744
24660071,528,10212.8,525,16.2,65.7,19,2.1,525,10,1.90,485,0,0.00,333070,875
24660072,551,10846.5,550,17.3,70,13.6,2.2,550,15,2.73,540,0,0.00,368494,753
24660073,484,4275.6,485,15.5,63.9,20.6,2,485,0,0.00,490,0,0.00,315551,778
24660074,445,8286.8,445,12.4,75.3,12.4,2,445,5,1.12,460,15,3.26,308635,742
24660075,431,5793,430,10.5,67.4,20.9,1.9,430,5,1.16,550,0,0.00,373789,781
24660076,505,6507.7,505,10.9,69.3,19.8,2,500,5,1.00,505,10,1.98,367568,765
24660077,454,6005.3,455,14.3,61.5,23.1,2.1,455,0,0.00,385,0,0.00,326915,822
24660078,498,6475.9,500,13,71,17,2.1,490,5,1.02,445,10,2.25,362797,709
24660079,482,3312.7,485,13.4,64.9,20.6,2.2,485,5,1.03,415,0,0.00,315829,732
24660080,625,9645.1,625,13.6,73.6,12.8,2.1,620,0,0.00,680,55,8.09,351852,759
24660081,647,6897.7,645,13.2,64.3,23.3,2.1,590,5,0.85,530,0,0.00,387324,766
24660082,637,7922.9,635,12.6,74.8,12.6,2,625,5,0.80,580,0,0.00,291631,660
24660083,462,7790.9,465,12.9,72,14,2.1,455,10,2.20,460,0,0.00,292677,737
24660084,442,8822.4,440,14.8,68.2,18.2,2.1,440,5,1.14,405,0,0.00,329621,769
24660085,588,9453.4,590,12.7,72.9,15.3,1.9,590,5,0.85,645,0,0.00,338798,718
24660086,420,12280.7,420,15.5,69,14.3,2.3,420,10,2.38,435,0,0.00,317318,722
24660087,767,20078.5,770,18.8,67.5,13,2.2,770,10,1.30,780,0,0.00,0,810
24660088,452,19234,450,22.2,66.7,12.2,2.4,455,5,1.10,385,35,9.09,412508,719
24660089,385,8651.7,385,15.6,71.4,13,2.3,385,0,0.00,330,0,0.00,370399,844
24660090,1036,15841,1035,20.8,68.1,11.6,2.1,1035,15,1.45,1015,15,1.48,389796,704
24660091,571,10712.9,570,18.4,72.8,8.8,2.5,575,10,1.74,610,35,5.74,317716,874
24660092,338,1236.3,340,13.2,72.1,14.7,1.9,335,5,1.49,290,30,10.34,341713,735
24660093,614,7496.9,615,14.6,74,10.6,2.1,615,0,0.00,675,0,0.00,280952,794
24660094,566,6199.3,570,18.4,66.7,14.9,2.3,565,0,0.00,595,10,1.68,325080,792
24660095,517,3070.1,520,17.3,68.3,14.4,2,515,0,0.00,560,0,0.00,359581,731
24660096,516,6771.7,520,14.4,71.2,14.4,2.1,515,0,0.00,540,0,0.00,320624,716
24660097,518,8248.4,515,12.6,66,22.3,1.8,515,5,0.97,520,0,0.00,271591,632
24660098,498,4304.2,500,13,68,17,2.1,490,5,1.02,440,0,0.00,351369,771
24660099,784,9366.8,780,17.3,66.7,16,2,785,10,1.27,820,0,0.00,325063,642
24660100,451,22663.3,455,15.4,73.6,11,1.9,450,5,1.11,430,0,0.00,0,785
24660101,501,3859.8,500,8,72,20,2.1,500,10,2.00,555,20,3.60,319811,650
24660102,508,3071.3,505,13.9,70.3,16.8,2.3,510,0,0.00,525,0,0.00,332058,796
24660103,374,4091.9,375,4,66.7,29.3,1.5,375,0,0.00,405,0,0.00,185626,660
24660104,551,968.5,550,16.4,70.9,11.8,2,550,5,0.91,535,10,1.87,254584,762
24660107,475,14011.8,475,15.8,69.5,14.7,1.9,475,5,1.05,435,0,0.00,283121,744
24660108,738,12724.1,735,8.2,59.9,32,1.6,740,10,1.35,670,10,1.49,0,708
24660109,559,17802.5,560,17,70.5,13.4,1.9,560,5,0.89,565,0,0.00,0,751
24660110,678,22450.3,680,19.9,65.4,14.7,2.4,675,20,2.96,785,10,1.27,360506,793
24660111,374,18067.6,375,14.7,70.7,14.7,2.3,375,10,2.67,380,25,6.58,521045,839
24660112,459,18508.1,455,20.9,64.8,15.4,2.5,460,5,1.09,470,0,0.00,317500,834
24660114,631,23633,630,11.9,72.2,15.1,1.9,630,10,1.59,595,15,2.52,0,736
24660115,426,16015,425,15.3,68.2,16.5,2.3,430,15,3.49,460,25,5.43,450169,808
24660117,527,4462.3,530,10.4,66,21.7,2,525,15,2.86,485,10,2.06,439819,826
24660118,575,9364.8,575,17.4,62.6,20,2.3,575,10,1.74,620,10,1.61,458738,766
24660119,374,6607.8,375,5.3,57.3,37.3,2,275,5,1.82,260,10,3.85,601298,998
24660120,555,6476.1,555,12.6,74.8,12.6,2.1,540,10,1.85,520,0,0.00,578705,866
24660121,487,8339,490,15.3,64.3,19.4,2.2,485,0,0.00,550,20,3.64,523184,725
24660122,434,11481.5,435,12.6,69,18.4,2.1,435,5,1.15,390,0,0.00,444826,812
24660123,453,3694.9,455,13.2,67,19.8,2,455,5,1.10,405,0,0.00,470476,755
24660124,577,11609.7,575,15.7,67.8,17.4,2.1,575,10,1.74,595,25,4.20,504576,807
24660125,642,13209.9,640,22.7,66.4,10.9,2.4,640,10,1.56,685,0,0.00,640122,669
24660126,512,4189.9,515,12.6,63.1,23.3,2.3,515,20,3.88,455,25,5.49,505326,719
24660127,461,6483.8,460,13,62,25,2.1,460,0,0.00,440,0,0.00,498959,520
24660128,513,12889.4,515,21.4,62.1,15.5,2.5,515,15,2.91,445,0,0.00,509302,658
24660129,505,10520.8,505,14.9,60.4,23.8,2.1,505,10,1.98,540,0,0.00,554849,788
24660130,596,9644,595,20.2,59.7,21,2.5,595,20,3.36,680,0,0.00,402622,948
24660131,567,12089.6,565,20.4,68.1,13.3,2.3,570,20,3.51,550,0,0.00,500192,879
24660132,532,12459,530,15.1,65.1,19.8,2.4,530,20,3.77,540,0,0.00,599250,778
24660133,636,12254.3,635,13.4,66.1,20.5,2.3,635,30,4.72,540,15,2.78,488096,830
24660134,535,2753.5,535,14,71,15,2.1,535,15,2.80,525,0,0.00,479381,721
24660135,493,10378.9,490,16.3,60.2,24.5,2.5,495,25,5.05,520,0,0.00,497559,744
24660136,317,13547,315,15.9,61.9,23.8,2.1,315,10,3.17,345,0,0.00,772026,748
24660137,495,12757.7,495,16.2,64.6,19.2,2,495,5,1.01,495,0,0.00,642899,734
24660138,1831,23147.9,1830,2.7,39.1,58.2,1.6,1830,25,1.37,1815,30,1.65,288737,1187
24660139,369,6485.1,370,10.8,59.5,32.4,1.8,365,5,1.37,395,0,0.00,326058,812
24660140,710,12885.7,710,14.8,62,23.2,2,710,5,0.70,680,0,0.00,683175,731
24660141,470,1836.7,470,13.8,69.1,17,2.4,470,5,1.06,535,0,0.00,504726,956
24660142,462,3728.8,460,15.2,57.6,27.2,1.9,460,0,0.00,515,0,0.00,390605,722
24660143,393,10342.1,395,21.5,62,17.7,2.5,395,15,3.80,405,0,0.00,358226,991
24660144,1374,15266.7,1370,27.7,61.3,11.3,2.8,1375,20,1.45,1230,0,0.00,484750,808
24660145,474,12741.9,475,21.1,63.2,15.8,2.7,475,10,2.11,475,45,9.47,387027,877
24660146,556,7606,555,14.4,67.6,18,2.2,555,10,1.80,640,25,3.91,525924,887
24660147,685,20632.5,685,19,62.8,18.2,2,685,10,1.46,770,20,2.60,252393,876
24660148,566,1454.6,565,10.6,57.5,31.9,1.8,565,5,0.88,560,15,2.68,407213,811
24660149,1183,5561.8,1185,7.6,50.2,42.2,1.9,985,10,1.02,970,50,5.15,330295,705
24660150,586,3943.5,585,12,75.2,13.7,2,585,5,0.85,585,15,2.56,322434,693
24660151,419,4713.2,420,13.1,65.5,20.2,2,420,0,0.00,420,10,2.38,350014,816
24660152,874,3337.2,875,7.4,34.9,58.3,2.2,360,10,2.78,365,35,9.59,264257,956
24660153,465,10086.8,465,20.4,71,9.7,2.4,465,15,3.23,400,0,0.00,364061,565
24660154,475,6043.3,475,12.6,67.4,20,2,475,5,1.05,555,0,0.00,407185,752
24660155,558,8087,560,16.1,64.3,19.6,2.1,555,5,0.90,530,0,0.00,332396,751
24660156,799,11496.4,800,27.5,52.5,20,2.3,725,10,1.38,680,0,0.00,444529,427
24660157,521,2446,525,17.1,67.6,15.2,2.2,520,0,0.00,570,0,0.00,395852,860
24660158,568,9450.9,570,14.9,67.5,16.7,2.3,565,5,0.88,590,0,0.00,397501,711
24660159,632,16040.6,630,20.6,68.3,11.9,2.3,630,0,0.00,640,0,0.00,350131,823
24660160,412,6754.1,410,11,72,17.1,2.5,410,5,1.22,420,0,0.00,392191,758
24660161,339,7033.2,340,16.2,66.2,16.2,2.2,340,0,0.00,350,10,2.86,381863,823
24660162,497,9412.9,495,19.2,64.6,16.2,2.4,495,10,2.02,490,0,0.00,368873,759
24660163,1011,8293.7,1010,18.8,61.9,19.3,2.3,995,20,2.01,1045,0,0.00,521177,759
24660164,644,9226.4,645,24.8,63.6,11.6,2.4,645,15,2.33,635,15,2.36,285681,778
24660165,960,9571.3,960,21.4,60.4,18.2,2.5,960,5,0.52,925,0,0.00,450490,862
24660166,624,5356.2,620,16.9,65.3,18.5,2.7,625,0,0.00,640,15,2.34,427333,783
24660167,784,16198.3,785,23.6,64.3,11.5,2.1,780,20,2.56,800,0,0.00,529857,721
24660168,440,4927.2,440,11.4,52.3,37.5,3,440,5,1.14,300,15,5.00,475803,0
24660169,522,3152.2,520,18.3,65.4,15.4,2.6,520,10,1.92,535,15,2.80,439351,902
24660170,495,7031.3,495,20.2,64.6,15.2,2.6,485,5,1.03,550,0,0.00,414107,1006
24660171,635,10209,635,22,65.4,13.4,2.4,635,5,0.79,645,45,6.98,435795,758
24660172,409,12507.6,410,18.3,72,8.5,1.8,410,5,1.22,405,0,0.00,336075,664
24660173,398,10934.1,400,17.5,72.5,10,2.4,400,5,1.25,375,0,0.00,441724,766
24660174,641,9953.4,640,15.6,66.4,17.2,2.3,620,5,0.81,620,10,1.61,396316,743
24660175,572,7088,575,20,65.2,14.8,2.2,570,5,0.88,580,15,2.59,391567,761
24660176,768,2965.3,770,17.5,67.5,14.3,2.6,770,5,0.65,810,15,1.85,505830,608
24660177,371,2979.9,375,13.3,62.7,24,2.6,370,5,1.35,360,0,0.00,461894,0
24660178,450,2868.1,450,12.2,67.8,20,2.7,450,0,0.00,485,0,0.00,516627,0
24660179,468,3765.1,470,18.1,68.1,13.8,2.7,470,0,0.00,425,0,0.00,703448,968
24660180,596,4749,595,20.2,62.2,18.5,3,595,10,1.68,640,0,0.00,538509,926
24660181,918,12372,920,17.9,50,32.6,1.9,920,25,2.72,850,10,1.18,410085,609
24660182,682,22071.2,680,20.6,67.6,11.8,2.1,680,20,2.94,740,0,0.00,539480,774
24660183,519,7839.9,520,17.3,65.4,17.3,2.1,515,10,1.94,535,0,0.00,466616,700
24660184,432,8692.2,435,23,63.2,13.8,2.2,435,5,1.15,385,0,0.00,339556,785
24660185,300,10135.1,300,16.7,61.7,21.7,2.5,300,10,3.33,270,20,7.41,459301,827
24660186,788,12608,785,21.7,65,14,2.5,790,10,1.27,860,10,1.16,405098,908
24660187,556,9391.9,555,23.4,64,11.7,2.8,555,10,1.80,515,0,0.00,450650,919
24660188,582,12819.4,580,21.6,69.8,9.5,2.7,570,10,1.75,560,0,0.00,313408,899
24660189,527,23013.1,530,26.4,63.2,8.5,2.6,530,10,1.89,550,0,0.00,0,744
24660190,752,11042.6,750,24,64.7,11.3,2.7,750,15,2.00,685,0,0.00,304175,853
24660191,512,20078.4,510,26.5,62.7,11.8,2.6,515,15,2.91,540,0,0.00,337635,792
24660192,624,16729.2,625,22.4,64,13.6,2.5,620,10,1.61,530,0,0.00,345271,740
24660193,429,13200,425,17.6,68.2,15.3,2.4,430,10,2.33,430,30,6.98,293600,689
24660194,335,6417.6,335,20.9,64.2,13.4,2.6,335,10,2.99,305,15,4.92,391246,733
24660195,590,6399.1,590,19.5,71.2,9.3,2.7,590,5,0.85,590,10,1.69,351344,783
24660196,426,6960.8,430,17.4,66.3,15.1,2.2,420,5,1.19,465,10,2.15,299764,777
24660197,603,8815.8,605,21.5,68.6,9.9,2.8,605,10,1.65,555,0,0.00,391090,962
24660198,562,5286.9,565,17.7,64.6,16.8,2.5,560,0,0.00,590,0,0.00,426496,799
24660199,435,2222.8,435,17.2,63.2,18.4,2.8,435,5,1.15,365,10,2.74,306581,0
24660200,417,5940.2,420,28.6,59.5,10.7,2.9,415,10,2.41,480,0,0.00,357861,953
24660201,554,15261.7,555,24.3,61.3,13.5,2.4,555,15,2.70,530,10,1.89,331107,874
24660202,488,14923.5,490,22.4,65.3,12.2,2.3,485,10,2.06,490,10,2.04,315409,665
24660203,1306,1500.8,1305,10,50.2,39.5,1.7,1305,20,1.53,1285,0,0.00,287685,911
24660204,462,12657.5,460,21.7,64.1,14.1,2.4,460,10,2.17,490,20,4.08,559022,857
24660205,1950,20945.2,1950,2.3,22.3,75.4,1.5,1760,5,0.28,1245,10,0.80,256186,1283
24660206,448,15395.2,445,12.4,50.6,38.2,1.7,450,10,2.22,445,0,0.00,0,891
24660207,385,3459.1,385,13,64.9,23.4,2.3,385,10,2.60,370,0,0.00,555443,855
24660208,329,10092,330,10.6,68.2,21.2,1.9,330,0,0.00,430,0,0.00,588370,863
24660209,387,919.7,385,19.5,62.3,18.2,2.5,385,10,2.60,335,0,0.00,717287,788
24660210,655,12107.2,655,20.6,58.8,20.6,2.3,655,20,3.05,685,0,0.00,725238,842
24660211,761,11984.3,760,15.8,62.5,21.7,2.4,760,25,3.29,785,10,1.27,594795,784
24660212,563,17538.9,565,24.8,58.4,15.9,2.8,560,20,3.57,605,0,0.00,599275,897
24660213,613,10966,610,26.2,59.8,14.8,2.7,615,30,4.88,605,10,1.65,802270,781
24660214,508,16655.7,505,26.7,61.4,12.9,2.7,505,25,4.95,560,0,0.00,483991,832
24660215,544,2931,545,20.2,60.6,19.3,2.7,545,30,5.50,565,20,3.54,601745,808
24660216,414,12738.5,415,25.3,61.4,13.3,2.7,415,25,6.02,410,0,0.00,644614,801
24660217,588,20416.7,585,29.1,60.7,11.1,2.6,585,15,2.56,560,0,0.00,356943,811
24660218,593,6618.3,590,11.9,63.6,25.4,2.1,590,20,3.39,555,0,0.00,344670,826
24660219,560,9982.2,560,9.8,38.4,51.8,2.3,340,5,1.47,385,0,0.00,645728,859
24660220,948,15119.6,950,25.3,60.5,14.2,2.4,945,60,6.35,955,25,2.62,537337,817
24660221,347,9971.3,345,17.4,59.4,23.2,2.5,345,15,4.35,295,0,0.00,597352,867
24660222,519,7621.1,520,13.5,62.5,24,2.5,515,20,3.88,530,0,0.00,606870,1109
24660223,567,12115.4,565,23,60.2,16.8,2.7,565,25,4.42,580,0,0.00,586537,739
24660224,422,7843.9,420,21.4,63.1,14.3,2.8,420,20,4.76,415,15,3.61,425353,776
24660225,594,10223.8,595,24.4,60.5,15.1,2.6,595,25,4.20,580,0,0.00,561886,798
24660226,576,10194.7,575,19.1,66.1,15.7,2.6,575,15,2.61,585,10,1.71,531458,680
24660227,700,10606.1,700,16.4,61.4,22.9,2.6,700,30,4.29,700,55,7.86,536469,906
24660228,470,10064.2,470,18.1,59.6,23.4,2.5,470,30,6.38,440,0,0.00,546575,887
24660229,602,9885.1,605,17.4,60.3,22.3,2.4,600,30,5.00,585,0,0.00,476286,808
24660230,506,9353,505,18.8,59.4,20.8,2.3,510,20,3.92,500,0,0.00,853573,850
24660231,739,13943.4,740,24.3,62.2,13.5,2.6,740,20,2.70,725,30,4.14,563908,774
24660232,955,12870.6,955,23.6,64.9,12,2.2,955,45,4.71,985,10,1.02,536797,828
24660233,1473,12546.8,1475,21.7,67.1,11.2,2.2,1470,40,2.72,1480,65,4.39,274634,827
24660234,564,10162.2,560,13.4,71.4,15.2,1.9,565,20,3.54,575,25,4.35,381014,706
24660235,833,5817,835,21,64.7,15,2.3,835,15,1.80,835,0,0.00,420643,748
24660236,732,15345.9,730,19.9,63.7,17.1,2.1,730,25,3.42,680,10,1.47,365420,790
24660238,484,20508.5,480,24,66.7,11.5,2.3,485,5,1.03,440,0,0.00,388013,722
24660239,836,17380.5,835,19.2,72.5,9,2,835,20,2.40,885,10,1.13,353643,732
24660241,793,6161.6,795,15.7,56,27.7,2.1,790,20,2.53,820,40,4.88,358741,1004
24660242,853,5450.5,850,14.7,70.6,14.7,2.1,855,30,3.51,815,65,7.98,295525,648
24660243,864,8307.7,865,15,69.9,15,2,860,15,1.74,970,30,3.09,378103,711
24660244,774,14548.9,775,16.1,67.1,16.1,2.4,775,35,4.52,755,55,7.28,437412,839
24660245,519,17713.3,520,18.3,70.2,11.5,1.9,510,15,2.94,565,0,0.00,308202,685
24660246,877,16062.3,875,20.6,68.6,11.4,2.3,875,50,5.71,990,50,5.05,351780,739
24660247,655,21906.4,655,22.9,66.4,10.7,2.3,625,25,4.00,555,0,0.00,0,765
24660248,658,18379.9,660,22,68.9,9.1,2.5,655,35,5.34,645,0,0.00,299627,781
24660249,640,13646.1,640,14.1,75.8,10.9,2,640,25,3.91,685,15,2.19,381748,697
24660250,556,15885.7,555,16.2,72.1,11.7,2.2,555,30,5.41,680,0,0.00,326306,653
24660251,556,18471.8,555,18,72.1,10.8,2.4,555,25,4.50,530,15,2.83,353914,715
24660252,602,12673.7,605,16.5,66.9,14.9,2.2,600,40,6.67,630,10,1.59,360508,703
24660253,490,4949.5,490,18.4,69.4,12.2,2.3,490,25,5.10,490,25,5.10,683827,763
24660254,823,12413.3,825,18.8,70.3,10.3,2.2,825,30,3.64,770,30,3.90,255878,743
24660255,617,13650.4,620,13.7,66.1,19.4,2.3,620,45,7.26,555,15,2.70,351365,716
24660256,676,4794.3,675,23,66.7,11.1,2.4,665,25,3.76,655,20,3.05,360537,661
24660257,551,8399.4,550,13.6,70.9,15.5,2.2,550,20,3.64,505,20,3.96,322965,710
24660258,618,4598.2,615,17.1,63.4,19.5,2.5,615,40,6.50,585,0,0.00,581472,870
24660259,507,15089.3,505,23.8,60.4,16.8,2.7,505,15,2.97,500,0,0.00,648874,795
24660260,722,2424.4,720,20.8,63.2,16,2.3,725,35,4.83,735,0,0.00,658330,849
24660261,428,11856,425,18.8,64.7,17.6,2.5,430,20,4.65,430,10,2.33,514760,789
24660262,605,5335.1,605,19.8,65.3,14.9,2.3,605,20,3.31,590,0,0.00,548598,788
24660263,705,9710.7,705,18.4,59.6,22,2.5,700,20,2.86,730,0,0.00,593632,829
24660264,1058,7393.4,1055,13.3,51.2,36,2,1060,40,3.77,1000,10,1.00,551962,1086
24660265,441,10184.8,440,15.9,62.5,21.6,2.6,440,25,5.68,430,0,0.00,549551,773
24660266,640,4161.2,640,16.4,56.3,26.6,2.2,640,30,4.69,685,0,0.00,455691,815
24660267,543,9696.4,540,18.5,60.2,21.3,2.8,540,25,4.63,475,0,0.00,512745,966
24660268,422,5985.8,420,10.7,61.9,27.4,2,425,20,4.71,505,0,0.00,373335,848
24660269,521,4919.7,520,15.4,69.2,15.4,2.4,525,15,2.86,435,0,0.00,662551,805
24660270,498,9120.9,495,16.2,59.6,23.2,2.3,495,50,10.10,470,55,11.70,623981,803
24660271,530,9671.5,530,13.2,60.4,27.4,2.5,530,20,3.77,485,0,0.00,520780,778
24660272,425,12574,425,20,62.4,17.6,2.5,425,20,4.71,340,0,0.00,638368,774
24660273,520,11016.9,520,19.2,59.6,21.2,2.4,520,20,3.85,505,10,1.98,632459,874
24660274,647,2558.3,645,17.8,62,19.4,2.6,645,35,5.43,650,20,3.08,632438,816
24660275,1596,14750.5,1595,6.3,27.9,66.1,1.8,1415,35,2.47,855,10,1.17,444167,885
24660276,490,4398.6,490,19.4,59.2,21.4,2.3,490,30,6.12,550,0,0.00,465902,861
24660277,532,7535.4,530,21.7,57.5,21.7,2.5,530,30,5.66,670,45,6.72,588222,886
24660278,503,3608.3,500,13,63,24,2.8,500,10,2.00,490,0,0.00,473096,0
24660279,386,4084.7,385,15.6,57.1,28.6,2.9,385,10,2.60,470,0,0.00,429732,0
24660280,471,3697,470,14.9,64.9,21.3,3.2,470,15,3.19,455,0,0.00,516059,0
24660281,575,6639.7,575,16.5,54.8,28.7,2.4,575,20,3.48,635,0,0.00,451323,773
24660282,542,15441.6,540,27.8,57.4,15.7,2.6,545,15,2.75,560,20,3.57,602743,812
24660283,395,8896.4,395,22.8,59.5,17.7,2.5,395,20,5.06,390,10,2.56,611345,839
24660284,713,12043.9,715,22.4,61.5,16.8,2.5,715,30,4.20,700,15,2.14,649766,805
24660285,693,12352.9,695,21.6,61.9,15.8,2.6,695,30,4.32,710,0,0.00,547115,852
24660286,660,11359.7,660,21.2,60.6,18.2,2.5,660,25,3.79,580,10,1.72,551862,908
24660287,445,11125,445,18,56.2,25.8,2.4,445,15,3.37,475,0,0.00,549989,821
24660288,655,2997.7,655,18.3,59.5,22.9,2.5,655,25,3.82,715,0,0.00,565907,903
24660289,1023,4436.3,1025,10.7,51.7,37.6,1.8,1020,45,4.41,965,10,1.04,346521,615
24660290,708,881.5,705,18.4,64.5,16.3,2.4,705,25,3.55,725,0,0.00,632020,707
